Task_name,Participant #,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient 1,Gradient 2,Gradient 3
Movie Task-videodata,sub003,-13,4.199999999999999,4.000000000000001,6.400000000000002,2.900000000000001,2.0,1.4000000000000117,6.600000000000005,4.100000000000017,7.700000000000005,3.8000000000000025,3.199999999999998,1.600000000000008,6.400000000000009,5.0,4.0,5.0000000000000036,0.0,0.0,0.0
Movie Task-videodata,sub003,-13,7.299999999999999,2.8000000000000016,1.0,3.0000000000000018,1.0,1.0,2.7000000000000015,7.699999999999991,4.100000000000001,5.1,3.0,1.0,7.999999999999991,5.000000000000002,5.10000000000001,4.800000000000003,0.0,0.0,0.0
Movie Task-videodata,sub004,-13,3.5000000000000164,2.000000000000008,9.0,10.0,8.000000000000007,1.0,2.6000000000000005,3.4999999999999987,9.0,6.999999999999994,8.000000000000004,9.0,8.0,4.000000000000001,6.9999999999999964,6.4999999999999964,0.0,0.0,0.0
Movie Task-videodata,sub004,-13,9.999999999999993,3.6999999999999984,2.5000000000000084,8.799999999999997,2.4000000000000155,2.300000000000001,2.7000000000000006,8.599999999999987,9.099999999999989,3.6999999999999984,7.999999999999991,8.299999999999995,8.29999999999999,2.300000000000001,9.899999999999986,4.500000000000014,0.0,0.0,0.0
Movie Task-videodata,sub005,-11,5.899999999999999,6.099999999999999,8.0,5.500000000000001,1.0,8.599999999999989,6.30000000000001,6.600000000000012,8.199999999999989,1.0,6.999999999999994,4.30000000000001,9.699999999999987,1.0,7.6000000000000085,8.29999999999999,0.0,0.0,0.0
Movie Task-videodata,sub005,-11,8.09999999999999,2.300000000000001,7.299999999999993,3.7000000000000006,6.499999999999995,1.5000000000000115,3.500000000000002,8.100000000000007,4.0,3.0000000000000018,5.300000000000017,7.0,7.0,9.299999999999988,1.2999999999999994,5.500000000000012,0.0,0.0,0.0
