METADATA:
Experiment Seed,Subject
5863989,sub004
Time after setup,1870.4059033999802
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,1885.3816856999765
Movie Task Start,1885.381722799968,,,,Movie Task,1,sub004,,,
Movie Init,1918.0709244000027,,,,Movie Task,1,sub004,,,
Movie Start,1918.0709649999626,,,,Movie Task,1,sub004,,videodata.mp4,
ESQ,2045.560251899995,,Other_start,,Movie Task,1,sub004,,,Movie Task-videodata
ESQ,2065.4345427999506,,Other_response,2.000000000000008,Movie Task,1,sub004,,Marker Started at 8,Movie Task-videodata
ESQ,2065.4354137000046,,Self_start,,Movie Task,1,sub004,,,Movie Task-videodata
ESQ,2079.913433799986,,Self_response,6.9999999999999964,Movie Task,1,sub004,,Marker Started at 6,Movie Task-videodata
ESQ,2079.9153247000067,,Distracting_start,,Movie Task,1,sub004,,,Movie Task-videodata
ESQ,2096.376589099993,,Distracting_response,3.4999999999999987,Movie Task,1,sub004,,Marker Started at 5,Movie Task-videodata
ESQ,2096.378691699996,,Emotion_start,,Movie Task,1,sub004,,,Movie Task-videodata
ESQ,2103.966213299951,,Emotion_response,4.000000000000001,Movie Task,1,sub004,,Marker Started at 3,Movie Task-videodata
ESQ,2103.968155499955,,Deliberate_start,,Movie Task,1,sub004,,,Movie Task-videodata
ESQ,2128.6701877999585,,Deliberate_response,8.000000000000004,Movie Task,1,sub004,,Marker Started at 9,Movie Task-videodata
ESQ,2128.6720849999692,,Images_start,,Movie Task,1,sub004,,,Movie Task-videodata
ESQ,2134.842152600002,,Images_response,1.0,Movie Task,1,sub004,,Marker Started at 10,Movie Task-videodata
ESQ,2134.844087799953,,Knowledge_start,,Movie Task,1,sub004,,,Movie Task-videodata
ESQ,2151.254712999973,,Knowledge_response,6.4999999999999964,Movie Task,1,sub004,,Marker Started at 3,Movie Task-videodata
